player_id,player_name,player_team,player_position,player_depth_chart_position
1130,Cyrus Gray,,RB,
2089,Kerry Wynn,,DE,
2232,Demetrius Rhaney,,C,
3948,Andrew Opoku,,WR,
8498,Devin Harper,CIN,LB,ROLB
3853,Terran Vaughn,,G,
5152,Mat Boesen,,DE,
4230,Brandon Wilson,,DB,
7588,Javonte Williams,DEN,RB,RB
633,Tramaine Brock,,CB,
8053,Dareuan Parker,,OL,
8396,Micah McFadden,NYG,LB,RILB
8216,Player Invalid,,QB,
2517,Christian Covington,LAC,DT,
11248,Chris Stoll,SEA,LS,LS
1449,Denard Robinson,,RB,
3443,Chris Swain,,FB,
6913,Joe Reed,,WR,
1253,Marquette King,,P,
2688,Chad Slade,,OG,
8551,Brodarious Hamm,,T,
6406,Juwann Bushell-Beatty,,OT,
925,J.T. Thomas,,LB,
2806,Cameron Lynch,,LB,
11415,Tanner Taula,TB,TE,
1549,Kawann Short,,DT,
6713,Jamarius Way,,WR,
7080,Omar Bayless,,WR,
8514,Andrew Stueber,NE,OL,
4741,Dan Arnold,,TE,
5124,Alex McGough,GB,QB,
3962,Gary Kubiak,,,
3018,Tyrequek Zimmerman,,FS,
6038,Damian Prince,,OT,
7424,Anthony Jones,,RB,
4661,Michael Davis,LAC,CB,LCB
4494,Alonzo Moore,,WR,
10988,Cameron Mitchell,CLE,DB,LCB
6717,Ka'John Armstrong,,OT,
11341,Nash Jensen,CAR,OL,LG
5423,Trent Scott,WAS,T,RT
7342,Michael Hoecht,LAR,DT,ROLB
8844,Sam Webb,CAR,CB,RCB
480,Dannell Ellerbe,,LB,
7442,Anthony McKinney,,OT,
1421,Chance Warmack,,G,
4525,De'Chavon Hayes,,CB,
1985,Marcel Jensen,,TE,
5873,Riley Ridley,,WR,
7545,Marlon Williams,,WR,
8840,Cole Fotheringham,LV,TE,
11051,Ethan Evans,LAR,P,P
804,Clyde Gates,,WR,
7112,Tyre Phillips,PHI,G,
6828,AJ Dillon,GB,RB,RB
958,Joe Morgan,,WR,
2515,Kristjan Sokoli,,DT,
797,Justin Rogers,,CB,
4114,Tanoh Kpassagnon,NO,DE,LDE
1494,Damontre Moore,CAR,DE,
8744,Jack Snyder,,C,
4779,Bra'Lon Cherry,,WR,
8827,Josh Seltzner,,OL,
8581,Trevon Bradford,,WR,
780,Tony Carter,,CB,
3196,Kevin Dodd,,OLB,
3306,Jordan Howard,,RB,
7198,Jeff Hector,,CB,
6052,Khalil Hodge,,ILB,
6813,Jonathan Taylor,IND,RB,RB
11203,Matt Hembrough,ARI,LS,
75,Kendall Langford,,DE,
1028,Vinny Curry,,DE,
7560,Pooka Williams,,RB,
8281,Isaiah Thomas,CLE,DL,
440,Sherrod Martin,,FS,
3915,Jack Gangwish,,DE,RDE
4808,Maurice Swain,,DT,
1615,Colin Kelly,,OT,
5278,Jarvion Franklin,,RB,
4165,Julien Davenport,,T,
3944,Khaynin Mosley-Smith,,DT,
6806,J.K. Dobbins,BAL,RB,
3004,Josh Francis,,OLB,
6427,Ashton Dulin,IND,WR,
986,Aldon Smith,,DE,
8128,Player Invalid,,TE,
8166,Dontario Drummond,,WR,
7014,Joe Bachie,CIN,LB,LOLB
6530,Mark McLaurin,,LB,
2815,Cody Riggs,,CB,
3834,K.J. Brent,,WR,
10885,Lukas Van Ness,GB,DL,LOLB
2322,Arik Armstead,SF,DE,LDT
8588,De'Vante Cross,,CB,
4647,Colin Thompson,,TE,
8038,Nick Guggemos,,TE,
165,Brandon Bostick,,TE,
5638,Shaq Roland,CHI,WR,
2962,Zach D'Orazio,,WR,
7429,Marcus Webb,,DE,
3729,Herb Waters,,WR,
1700,Jeff Heath,,DB,
11174,Jack Colletto,PIT,FB,
2227,Aaron Donald,LAR,DT,RDE
2604,Manasseh Garner,,WR,
7331,John Brannon,,CB,
7966,Calvin Ashley,TB,OT,
6968,Jordan Fuller,LAR,DB,SS
7868,Mason Stokke,CAR,FB,
739,Trent Edwards,,QB,
2730,Kenneth Harper,,RB,
2343,Preston Smith,GB,LB,LOLB
4345,Bam Bradley,,ILB,
1629,LaAdrian Waddle,,T,
2794,Joel Ross,,CB,
3038,Chris Reed,MIN,G,
3377,Aaron Wallace,,OLB,
1297,Marshall McFadden,,OLB,
4025,Jack Del Rio,,,
5921,Kris Boyd,,CB,
5326,Jermaine Kelly,,CB,
2598,Terrell Watson,,RB,
6473,Derrick Puni,,OT,
8673,Joel Dublanko,,LB,
3630,Durron Neal,,WR,
10989,Jaquelin Roy,MIN,DT,RDE
7401,Khalil Tate,,WR,
3543,Spencer Pulley,MIA,C,
3821,Travis Britz,,DT,
6140,Kendall Sheffield,SF,DB,NB
3613,Ronald Zamort,,CB,
921,Willie Smith,,OT,
4765,Chunky Clements,,NT,
2435,Shaq Mason,HOU,OL,RG
6139,Jace Sternberger,,TE,
3994,Bill Musgrave,,,
3903,Warren Gatewood,,CB,
4731,Joe Bacci,,FB,
4843,Willie Mays,,LB,
7135,Freddie Swain,MIA,WR,
5597,Brogan Roback,,QB,
3287,Deiondre' Hall,,SS,
984,Konrad Reuland,,TE,
4980,Leighton Vander Esch,DAL,LB,MLB
7305,Jalen Julius,,CB,
1567,Tavon Austin,,WR,
2455,Jarvis Harrison,,G,
2325,Nelson Agholor,BAL,WR,LWR
7041,Robert Hunt,MIA,OL,RG
7716,John Bates,WAS,TE,TE
3830,Garrick Mayweather,,G,RG
443,Garry Williams,,OT,
1809,Ross Cockrell,,CB,
7783,Quincy Roche,,LB,
6499,Jhavonte Dean,,CB,
3236,Maliek Collins,HOU,DT,LDT
1420,Daimion Stafford,,SS,
3927,Jamal Golden,,SS,
3143,Todd Haley,,,
6992,Michael Warren,DET,RB,
1692,Lowell Rose,,CB,
308,JohnnieLee Higgins,,WR,
KC,KC,KC,DEF,DEF
6667,Jordan Agasiva,,G,
1103,Whitney Mercilus,GB,LB,
11303,Caleb Johnson,,LB,
8364,Trent McDuffie,KC,DB,NB
6065,Cody Barton,WAS,LB,MLB
4411,R.J. Shelton,,WR,
1298,Anthony Levine,BAL,DB,
8661,Matt Hankins,LAC,CB,
3546,Mike Hilton,CIN,CB,NB
1328,Cam Johnson,,DE,
8535,David Anenih,,DE,
4304,Chris Odom,,OLB,
3893,Reece Horn,,WR,
8853,Jordan Williams,,DT,
2870,Ray Hamilton,,TE,
4067,Jarrad Davis,NYG,LB,
583,Brandon Graham,PHI,DE,LDE
2576,Cody Fajardo,,QB,
1626,Will Compton,,LB,
6872,Kyle Dugger,NE,DB,FS
3441,Matt Skura,,C,
322,Antonio Gates,,TE,
4919,Josh Latham,,LS,
4320,James Quick,,WR,
725,Clint Gresham,,LS,
5437,Corey Griffin,,S,
8469,Daniel Faalele,BAL,T,RT
11013,Luke Wypler,CLE,OL,C
4284,Brad Seaton,,OT,
4841,Whitney Richardson,,DE,
74,Mike Adams,,FS,
179,Reggie Bush,,RB,
11137,Dequan Jackson,JAX,LB,
5387,Jerod Fernandez,,OLB,
8422,Player Invalid,,RB,
2217,Robert Herron,,WR,
4560,J.D. Harmon,,CB,
7477,Tyler Clark,,DT,
3970,John Fox,,,
2788,Nick Harwell,,WR,
7172,Mikey Daniel,,RB,
6939,Binjimen Victor,,WR,
7516,Hunter Niswander,DAL,P,
1838,Shamiel Gary,,FS,
1892,Jeremy Hill,,RB,
6814,Laviska Shenault,CAR,WR,RWR
6336,Jesse Aniebonam,,OLB,
789,Curtis Marsh,,CB,
6915,Alton Robinson,,DE,
